"redis_instances","throughput","type"
1,67222.37,controls_off
1,66102.59,controls_off
1,67512.83,controls_off
1,66943.37,controls_off
1,66711.14,controls_off
1,68184.91,controls_off
1,66970.27,controls_off
1,68427.53,controls_off
1,67613.25,controls_off
1,67925.55,controls_off
5,288017.14,controls_off
5,287624.21,controls_off
5,287304.05,controls_off
5,283761.52999999997,controls_off
5,283779.05,controls_off
5,286070.67,controls_off
5,289061.87,controls_off
5,283246.35,controls_off
5,286311.51999999996,controls_off
5,283765.99,controls_off
9,469798.49,controls_off
9,467779.98,controls_off
9,468599.58,controls_off
9,467103.54999999993,controls_off
9,469520.64999999997,controls_off
9,468647.62999999995,controls_off
9,468041.49999999994,controls_off
9,470339.8,controls_off
9,466498.01999999996,controls_off
9,468054.68000000005,controls_off
13,632107.45,controls_off
13,633680.2,controls_off
13,631687.1499999999,controls_off
13,633436.61,controls_off
13,633050.11,controls_off
13,632970.15,controls_off
13,632912.06,controls_off
13,627061.12,controls_off
13,630111.0099999999,controls_off
13,632092.5100000001,controls_off
17,697914.2599999999,controls_off
17,697134.1300000001,controls_off
17,693381.06,controls_off
17,695877.7200000001,controls_off
17,701714.2100000001,controls_off
17,697518.7600000001,controls_off
17,701225.5799999998,controls_off
17,697984.1699999999,controls_off
17,694948.78,controls_off
17,697778.58,controls_off
21,710012.2800000001,controls_off
21,711631.71,controls_off
21,705548.5100000001,controls_off
21,707035.15,controls_off
21,706966.27,controls_off
21,711080.49,controls_off
21,709612.98,controls_off
21,702512.06,controls_off
21,709375.85,controls_off
21,707323.1,controls_off
25,708088.15,controls_off
25,709915.3200000001,controls_off
25,707828.8799999999,controls_off
25,715842.11,controls_off
25,709471.08,controls_off
25,713215.29,controls_off
25,711021.6799999999,controls_off
25,708400.72,controls_off
25,715865.8899999999,controls_off
25,716172.7800000001,controls_off
29,691334.1399999999,controls_off
29,694405.3099999998,controls_off
29,691947.4000000003,controls_off
29,692514.2999999999,controls_off
29,693900.9299999999,controls_off
29,690995.0799999998,controls_off
29,692593.3799999999,controls_off
29,693366.02,controls_off
29,689661.3799999999,controls_off
29,701950.9600000001,controls_off
1,67105.09,turboboost_off
1,67888.66,turboboost_off
1,68222.13,turboboost_off
1,65642.64,turboboost_off
1,66260.27,turboboost_off
1,68408.81,turboboost_off
1,65971.77,turboboost_off
1,67485.49,turboboost_off
1,67240.45,turboboost_off
1,67879.45,turboboost_off
5,285614.44,turboboost_off
5,285387.02999999997,turboboost_off
5,289072.41000000003,turboboost_off
5,285805.19000000006,turboboost_off
5,285896.33999999997,turboboost_off
5,284452.78,turboboost_off
5,288149.86,turboboost_off
5,285344.01,turboboost_off
5,285858.01,turboboost_off
5,283044.02,turboboost_off
9,467233.7700000001,turboboost_off
9,467975.33,turboboost_off
9,466978.72000000003,turboboost_off
9,468339.8899999999,turboboost_off
9,466221.52,turboboost_off
9,468568.94,turboboost_off
9,469811.72,turboboost_off
9,467354.39999999997,turboboost_off
9,468166.73,turboboost_off
9,472123.07999999996,turboboost_off
13,596793.96,turboboost_off
13,590118.72,turboboost_off
13,600005.4999999999,turboboost_off
13,595552.53,turboboost_off
13,593505.54,turboboost_off
13,597022.31,turboboost_off
13,593217.07,turboboost_off
13,598666.19,turboboost_off
13,596508.7300000001,turboboost_off
13,596102.52,turboboost_off
17,658826.66,turboboost_off
17,670939.8500000001,turboboost_off
17,658917.4700000001,turboboost_off
17,668525.78,turboboost_off
17,660370.7600000001,turboboost_off
17,655476.2899999999,turboboost_off
17,664238.44,turboboost_off
17,670958.38,turboboost_off
17,664953.75,turboboost_off
17,663233.82,turboboost_off
21,660577.1899999998,turboboost_off
21,662811.66,turboboost_off
21,658019.7000000001,turboboost_off
21,671621.4900000001,turboboost_off
21,656480.23,turboboost_off
21,664100.9600000001,turboboost_off
21,669694.9299999999,turboboost_off
21,673477.4199999999,turboboost_off
21,661209.7000000001,turboboost_off
21,660646.09,turboboost_off
25,650218.5700000001,turboboost_off
25,640203.7500000001,turboboost_off
25,641680.1000000001,turboboost_off
25,650095.8700000001,turboboost_off
25,647430.6900000001,turboboost_off
25,650738.5199999999,turboboost_off
25,643000.7600000001,turboboost_off
25,651577.16,turboboost_off
25,655951.9000000003,turboboost_off
25,640553.3099999998,turboboost_off
29,651888.01,turboboost_off
29,682486.65,turboboost_off
29,672193.64,turboboost_off
29,659065.2300000001,turboboost_off
29,675541.2400000001,turboboost_off
29,659034.9299999999,turboboost_off
29,660835.75,turboboost_off
29,673569.5499999998,turboboost_off
29,653677.3299999998,turboboost_off
29,643844.5,turboboost_off
1,64741.68,hyperthreading_off
1,67412.7,hyperthreading_off
1,65919.58,hyperthreading_off
1,66120.08,hyperthreading_off
1,64800.41,hyperthreading_off
1,65248.6,hyperthreading_off
1,67015.15,hyperthreading_off
1,67240.45,hyperthreading_off
1,65496.46,hyperthreading_off
1,66648.9,hyperthreading_off
5,286654.94,hyperthreading_off
5,285838.73000000004,hyperthreading_off
5,287670.14999999997,hyperthreading_off
5,288021.22,hyperthreading_off
5,288976.53,hyperthreading_off
5,288008.44999999995,hyperthreading_off
5,287076.52,hyperthreading_off
5,285636.82,hyperthreading_off
5,287977.38,hyperthreading_off
5,285247.03,hyperthreading_off
9,471213.29000000004,hyperthreading_off
9,469938.75,hyperthreading_off
9,472154.71,hyperthreading_off
9,473579.87999999995,hyperthreading_off
9,473235.99999999994,hyperthreading_off
9,471046.9800000001,hyperthreading_off
9,470906.58,hyperthreading_off
9,470890.8,hyperthreading_off
9,473245.49000000005,hyperthreading_off
9,469596.05,hyperthreading_off
13,606386.0800000001,hyperthreading_off
13,606713.19,hyperthreading_off
13,605239.9099999999,hyperthreading_off
13,600858.1900000001,hyperthreading_off
13,606423.42,hyperthreading_off
13,605075.19,hyperthreading_off
13,604050.4299999999,hyperthreading_off
13,605087.4699999999,hyperthreading_off
13,603225.27,hyperthreading_off
13,603682.5599999999,hyperthreading_off
17,688205.86,hyperthreading_off
17,680638.48,hyperthreading_off
17,680312.1000000001,hyperthreading_off
17,680018.1,hyperthreading_off
17,692896.3200000001,hyperthreading_off
17,682799.2300000001,hyperthreading_off
17,681990.59,hyperthreading_off
17,683833.6799999999,hyperthreading_off
17,680479.09,hyperthreading_off
17,679884.09,hyperthreading_off
21,671422.0200000001,hyperthreading_off
21,667101.1099999999,hyperthreading_off
21,679849.6000000001,hyperthreading_off
21,671645.28,hyperthreading_off
21,686763.7599999999,hyperthreading_off
21,676688.5100000001,hyperthreading_off
21,670444.0400000002,hyperthreading_off
21,670829.05,hyperthreading_off
21,669863.76,hyperthreading_off
21,673314.19,hyperthreading_off
25,667443.6299999999,hyperthreading_off
25,666475.72,hyperthreading_off
25,671000.06,hyperthreading_off
25,671932.9,hyperthreading_off
25,669353.4399999998,hyperthreading_off
25,666021.2,hyperthreading_off
25,668819.0,hyperthreading_off
25,666541.26,hyperthreading_off
25,669216.8899999999,hyperthreading_off
25,662496.8500000001,hyperthreading_off
29,669998.6400000001,hyperthreading_off
29,658372.1699999999,hyperthreading_off
29,673148.21,hyperthreading_off
29,680718.9800000001,hyperthreading_off
29,668053.05,hyperthreading_off
29,654716.6200000001,hyperthreading_off
29,664910.5999999999,hyperthreading_off
29,655266.84,hyperthreading_off
29,652049.53,hyperthreading_off
29,661135.9099999999,hyperthreading_off
1,66006.6,controls_on
1,65385.12,controls_on
1,65565.17,controls_on
1,66462.85,controls_on
1,67186.24,controls_on
1,64699.79,controls_on
1,65590.98,controls_on
1,65928.27,controls_on
1,66613.38,controls_on
1,63979.53,controls_on
5,288527.74,controls_on
5,283996.42000000004,controls_on
5,286044.92,controls_on
5,290066.4,controls_on
5,286551.77999999997,controls_on
5,287748.27999999997,controls_on
5,287759.98,controls_on
5,288385.35,controls_on
5,287538.45999999996,controls_on
5,287516.13999999996,controls_on
9,444073.31999999995,controls_on
9,442327.87999999995,controls_on
9,442838.62000000005,controls_on
9,442605.85,controls_on
9,442347.81,controls_on
9,444283.24000000005,controls_on
9,444300.61,controls_on
9,442992.0999999999,controls_on
9,441156.59,controls_on
9,442526.79,controls_on
13,543119.04,controls_on
13,536847.6699999999,controls_on
13,526238.4099999999,controls_on
13,528862.02,controls_on
13,526466.03,controls_on
13,525393.1799999999,controls_on
13,528277.3099999999,controls_on
13,522251.3200000001,controls_on
13,526993.29,controls_on
13,531423.75,controls_on
17,576535.4700000001,controls_on
17,584489.96,controls_on
17,594096.73,controls_on
17,570014.49,controls_on
17,587772.9299999999,controls_on
17,595861.4399999998,controls_on
17,584499.67,controls_on
17,580456.62,controls_on
17,589689.1699999999,controls_on
17,577013.5499999999,controls_on
21,592243.6600000001,controls_on
21,584190.4799999999,controls_on
21,592100.3,controls_on
21,585047.45,controls_on
21,575842.33,controls_on
21,586931.2999999999,controls_on
21,590812.66,controls_on
21,599712.44,controls_on
21,592352.15,controls_on
21,591483.52,controls_on
25,579387.1099999999,controls_on
25,585456.52,controls_on
25,579050.41,controls_on
25,588482.5599999999,controls_on
25,595635.0899999999,controls_on
25,582194.76,controls_on
25,581041.2400000001,controls_on
25,589811.2499999999,controls_on
25,575064.5100000001,controls_on
25,576289.36,controls_on
29,593123.8900000001,controls_on
29,576143.9299999999,controls_on
29,572716.5300000001,controls_on
29,570909.8999999999,controls_on
29,574269.2899999999,controls_on
29,579045.3999999999,controls_on
29,566466.6100000002,controls_on
29,597659.5899999999,controls_on
29,601148.69,controls_on
29,587207.8499999999,controls_on
